 2888 vargas    20   0 1357744 398124  85744 R  23,5  5,0  18:21.49 code
11380 vargas    20   0   51312   4232   3604 R  17,6  0,1   0:00.04 top
 1808 vargas    20   0  789372 145576 108556 S   5,9  1,8   7:13.99 Xorg
 2633 vargas    20   0 1296776 136460  94972 S   5,9  1,7   5:37.33 code
 2664 vargas    20   0  536076  83980  60252 S   5,9  1,0   6:40.29 code
 2965 vargas    20   0 1308532  21776  11640 S   5,9  0,3   0:05.39 Microsoft.VSCod
    1 root      20   0  225552   9320   6756 S   0,0  0,1   0:13.63 systemd
    2 root      20   0       0      0      0 S   0,0  0,0   0:00.02 kthreadd
    3 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 kworker/0:0H-kb
    8 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0,0  0,0   0:00.68 ksoftirqd/0
